,,,,1,,2,,3,,4
104_8H-Phe,186,H,26.71,,26.56,,26.56,,26.69,
105_FAME 14:0,74,H,26.66,,26.76,,26.76,,26.76,
106_Br-alk-225-1 ,225,H,27.96,9590,27.96,1620,27.96,3908,27.96,4291
107_C2-f_s,194,A,28.91,912813,28.89,149639,28.76,402424,28.9,473437
108_Br-alk-225-2,225,H,29.59,5513,29.58,649,29.58,1887,29.58,2133
109_m-C11-Tol,106,H,31.56,11918,31.55,2282,31.56,5893,31.55,7074
110_C12-Benz,92,H,30.01,17389,30.01,2409,30,6029,30,6270
111_o-C11-Tol,106,H,31.94,12867,31.93,1396,31.93,3709,31.93,3885
112_FAME 16:1,74,H,30.09,,30.07,,30.08,,30.08,
113_2-M-A,192,H,30.34,27505,30.34,10815,30.34,31127,30.34,33767
114_1-E-Phe,206,H,31.76,21162,31.75,4855,31.75,13647,31.76,14832
"115_1,7 DM-Phe",206,H,32.63,132715,32.62,35630,32.63,98926,32.63,103714
116_C3-dbt_s,226,A,33.14,840859,33.12,140546,33.13,420505,33.13,452307
117_FAME 18:2,74,H,33.38,,33.37,,33.38,,33.37,
118_FAME 18:1 + 18:3,74,H,33.5,,33.37,,33.49,,33.5,
120_C21Tr,290,H,33.98,,33.97,,33.97,,33.96,
121_C3-phe_s,220,A,34.53,1968359,34.51,684851,34.52,1825552,34.52,1914676
122_C4-phe_s,234,A,36.89,1028164,36.89,363726,36.89,912044,36.89,1073060
123_FAME 20:1,74,H,36.82,,36.81,,36.81,,36.81,
124_Te-M-Phe,234,H,36.89,24767,36.89,11986,36.89,33371,36.89,32500
125_FAME 20:0,74,H,38.84,,38.95,,38.95,,38.95,
126_C2-fl_s,230,A,37.87,19210,37.97,16799,37.97,44700,37.86,47269
127_BNT,234,H,37.92,15918,37.91,7445,37.91,20553,37.91,22579
128_C20TA,231,H,38.75,10829,38.73,978,38.73,2480,38.73,2704
129_C25Trab,191,H,39.34,5276,39.3,1880,39.31,4952,39.31,5317
130_C21 TA,231,H,40.09,10959,40.08,2019,40.09,5350,40.09,5780
131_Phy-Tol,106,H,40.5,19884,40.5,1110,40.5,2961,40.5,3373
132_C1-chr_s,242,A,40.75,255380,40.74,249978,40.75,650198,40.75,730196
133_27dbS,217,H,41.83,14871,41.81,2544,41.82,7106,41.82,7956
134_27dbR,217,H,42.29,8560,42.28,1459,42.28,4172,42.28,4638
135_C28 (22S),191,H,43.15,6150,43.14,2254,43.14,5631,43.14,6513
136_C29 (22S),191,H,43.53,,43.46,,43.32,,43.61,
137_BePy,252,H,44.13,13755,44.12,11738,44.12,32582,44.12,35699
138_BaPy ,252,H,44.29,3890,44.28,6107,44.28,17653,44.28,20033
139_28bbR+S,218,H,45.34,10624,45.33,4344,45.33,11740,45.33,12824
140_28aaR,217,H,45.69,7974,45.67,2612,45.68,7175,45.68,7830
141_29aaS,217,H,46.05,11590,46.04,4380,46.04,11658,46.04,12899
142_25nor30ab,177,H,46.45,7182,46.44,9078,46.45,22521,46.45,24265
143_29aaR,217,H,46.78,15937,46.76,3594,46.76,9867,46.76,10902
144_29Ts,191,H,46.88,19032,46.86,13814,46.86,34721,46.86,34326
145_30ba,191,H,48.24,14691,48.22,7697,48.23,21271,48.23,22241
146_32abS,191,H,49.84,48332,49.83,14536,49.83,40687,49.83,45031
