RT(milliseconds),TIC
24605,18.338802
24624,18.353125
24643,18.359505
24662,18.360416
24681,18.358984
24700,18.360678
24719,18.36224
24738,18.358854
24757,18.355207
24776,18.35078
24795,18.360025
24814,18.358204
24833,18.359375
24852,18.353907
24871,18.357292
24890,18.34948
24909,18.342968
24928,18.341406
24947,18.34388
24966,18.344141
24985,18.334505
25004,18.329817
25023,18.335546
25042,18.34375
25061,18.36172
25080,18.3681
25099,18.369532
25118,18.35612
25137,18.35625
25156,18.34974
25175,18.335676
25194,18.334375
25213,18.335938
25232,18.35078
25251,18.350912
25270,18.354036
25289,18.35599
25308,18.347136
25327,18.342838
25346,18.341797
25365,18.342188
25384,18.34362
25403,18.352345
25422,18.351301
25441,18.34961
25460,18.342058
25479,18.34987
25498,18.354557
25517,18.347527
25536,18.339973
25555,18.336199
25574,18.339453
25593,18.340626
25612,18.343359
25631,18.359114
25650,18.347656
25669,18.35716
25688,18.342968
25707,18.347395
25726,18.349348
25745,18.347918
25764,18.35026
25783,18.33112
25802,18.328775
25821,18.332813
25840,18.346485
25859,18.357292
25878,18.356771
25897,18.358463
25916,18.36797
25935,18.373829
25954,18.378124
25973,18.361067
25992,18.34961
26011,18.333593
26030,18.33724
26049,18.34961
26068,18.351433
26087,18.354166
26106,18.34987
26125,18.348438
26144,18.34974
26163,18.343359
26182,18.345182
26201,18.348307
26220,18.352734
26239,18.347136
26258,18.338411
26277,18.341406
26296,18.352865
26315,18.361849
26334,18.370703
26353,18.373568
26372,18.36914
26391,18.360025
26410,18.371614
26429,18.378386
26448,18.380339
26467,18.366146
26486,18.353645
26505,18.351824
26524,18.344662
26543,18.341146
26562,18.330599
26581,18.335417
26600,18.345703
26619,18.363543
26638,18.366796
26657,18.364063
26676,18.350391
26695,18.354166
26714,18.35716
26733,18.36901
26752,18.354557
26771,18.346224
26790,18.335938
26809,18.337109
26828,18.341406
26847,18.341927
26866,18.351824
26885,18.360678
26904,18.365105
26923,18.365364
26942,18.366926
26961,18.36914
26980,18.366016
26999,18.345312
27018,18.3375
27037,18.327084
27056,18.342188
27075,18.350912
27094,18.363152
27113,18.364063
27132,18.357683
27151,18.354948
27170,18.34961
27189,18.352604
27208,18.358984
27227,18.360807
27246,18.355469
27265,18.341797
27284,18.336458
27303,18.348827
27322,18.348698
27341,18.351954
27360,18.346745
27379,18.358984
27398,18.369661
27417,18.366276
27436,18.36224
27455,18.36237
27474,18.37552
