Time [ms],,,Intensity
921814,,,138237
922189,,,145350
922563,,,153852
922937,,,167132
923310,,,187272
923685,,,210685
924059,,,226857
924432,,,228321
924806,,,205733
925180,,,172575
925554,,,136745
925928,,,111927
926302,,,102258
926675,,,105392
927050,,,115635
927424,,,125603
927798,,,129062
928171,,,123158
928546,,,115597
928920,,,113696
929294,,,122411
929667,,,143976
930040,,,167036
930415,,,179852
930789,,,173994
931163,,,156170
931536,,,134502
931911,,,121159
932285,,,119231
932659,,,127713
933033,,,140483
933407,,,148474
933781,,,147297
934155,,,135886
934529,,,117931
934901,,,99679
935276,,,83248
935650,,,69815
936024,,,59547
936398,,,51507
936772,,,47628
937146,,,49495
937520,,,57555
937894,,,72291
938268,,,90285
938641,,,104937
939016,,,113179
939390,,,114114
939764,,,113393
940137,,,114403
940511,,,118736
940885,,,121970
941259,,,121893
941633,,,120311
942007,,,117607
942381,,,114839
942755,,,110894
943129,,,103412
943502,,,92705
943877,,,81628
944251,,,72575
944625,,,66320
944999,,,62966
945372,,,60421
945746,,,57390
946120,,,53728
946494,,,51412
946867,,,51583
947242,,,56963
947616,,,68989
947990,,,89197
948364,,,113581
948738,,,136303
949112,,,148436
949486,,,146825
949860,,,134613
950234,,,115525
950607,,,93472
950981,,,73146
951355,,,57916
951729,,,49738
952103,,,52744
952477,,,72526
952851,,,117367
953225,,,200005
953599,,,319466
953973,,,453824
954347,,,569900
954721,,,617282
955095,,,590321
955468,,,498756
955842,,,373556
956216,,,259274
956590,,,184811
956964,,,144344
957338,,,127047
957712,,,117252
958086,,,108494
958460,,,100257
958834,,,97438
959208,,,103054
959582,,,121125
959956,,,150399
960330,,,178833
960704,,,196211
961077,,,192402
961451,,,170150
961825,,,136787
962199,,,102922
962573,,,75411
962947,,,58180
963321,,,49581
963695,,,48133
964069,,,52287
964443,,,61110
964817,,,71863
965191,,,81915
965564,,,86359
965939,,,85963
966312,,,82538
966686,,,80194
967060,,,80395
967434,,,83527
967808,,,87215
968182,,,90199
968556,,,93445
968930,,,99139
969304,,,111091
969678,,,130887
970052,,,156310
970425,,,179219
970800,,,188131
971174,,,179518
971547,,,159623
971921,,,138169
972295,,,120654
972669,,,110518
973043,,,106169
973417,,,103684
973790,,,100847
974165,,,97414
974539,,,94325
974913,,,93880
975286,,,96909
975661,,,105751
976035,,,120007
976409,,,141655
976781,,,167005
977156,,,195715
977530,,,212452
977904,,,216052
978278,,,205450
978651,,,198466
979026,,,212485
979400,,,263762
979774,,,342301
980147,,,434332
980521,,,504729
980896,,,510517
981270,,,451336
981643,,,341077
982016,,,237727
982391,,,156645
982765,,,116783
983138,,,106853
983512,,,115822
983887,,,130415
984261,,,145326
984635,,,151432
985008,,,148458
985383,,,144148
985757,,,153247
986131,,,185312
986504,,,244139
986879,,,319136
987252,,,391010
987626,,,427279
987999,,,417924
988373,,,372727
988748,,,293128
989122,,,220988
989495,,,167775
989869,,,131740
990244,,,109449
990660,,,89756
991075,,,78467
991491,,,71134
991906,,,68915
992321,,,77941
992738,,,111217
993153,,,184593
993569,,,309208
993984,,,478088
994400,,,643826
994816,,,742035
995230,,,721685
995647,,,587416
996062,,,416087
996478,,,290674
996893,,,225991
997309,,,193282
997725,,,162710
998139,,,128478
998556,,,97753
998972,,,76804
999387,,,63748
999802,,,56074
1000218,,,51448
1000634,,,47128
1001050,,,44157
1001465,,,43596
1001881,,,48371
1002295,,,64417
1002712,,,100687
1003128,,,171414
1003543,,,286347
1003959,,,437838
1004373,,,580125
1004790,,,661053
1005206,,,641219
1005621,,,524015
1006037,,,354923
1006452,,,229838
1006867,,,180160
1007283,,,203919
1007699,,,290011
1008115,,,397231
1008530,,,496402
1008945,,,534798
1009362,,,477835
1009777,,,360621
1010193,,,230616
1010608,,,141358
1011024,,,101512
1011439,,,100475
1011854,,,123536
1012271,,,159697
1012686,,,189815
1013102,,,200414
1013517,,,189748
1013933,,,167166
1014348,,,147240
1014763,,,136498
1015180,,,131960
1015596,,,125592
1016011,,,117288
1016426,,,110135
1016842,,,112312
1017258,,,129427
1017674,,,158876
1018089,,,184031
1018505,,,192363
1018920,,,178628
1019335,,,152278
1019752,,,122111
1020167,,,102244
1020583,,,95147
1020998,,,93683
1021414,,,92258
1021830,,,87513
1022244,,,80637
1022661,,,76068
1023076,,,74745
1023492,,,76942
1023907,,,81457
1024323,,,89518
1024739,,,101533
1025154,,,113679
1025570,,,121029
1025986,,,114745
1026401,,,99039
1026817,,,79303
1027232,,,62130
1027647,,,50804
1028063,,,45254
1028479,,,43430
1028895,,,44880
1029310,,,48340
1029725,,,54724
1030142,,,63263
1030557,,,75426
1030973,,,91019
1031388,,,110845
1031804,,,129915
1032220,,,141822
1032635,,,140077
1033051,,,126095
1033466,,,105492
1033882,,,88291
1034298,,,84684
1034713,,,109222
1035128,,,189927
1035543,,,382060
1035959,,,724920
1036376,,,1224113
1036790,,,1797880
1037206,,,2307018
1037622,,,2633982
1038038,,,2665780
1038454,,,2317785
1038868,,,1691419
1039285,,,1022906
1039700,,,548375
1040116,,,306606
1040531,,,202350
1040947,,,154714
1041363,,,129201
1041777,,,114259
1042194,,,108301
1042610,,,109306
1043024,,,113116
1043440,,,118054
1043856,,,122745
1044271,,,126998
1044687,,,130753
1045103,,,132132
1045519,,,127108
1045934,,,123604
1046349,,,134440
1046766,,,181435
1047181,,,289852
1047597,,,474199
1048012,,,724881
1048428,,,1029083
1048844,,,1347881
1049259,,,1621271
1049675,,,1857752
1050090,,,2065175
1050505,,,2214546
1050922,,,2318490
1051337,,,2393900
1051753,,,2465957
1052168,,,2456922
1052584,,,2131972
1053000,,,918379
1053415,,,247341
1053831,,,136287
1054246,,,129016
1054662,,,136117
1055078,,,147108
1055493,,,152080
1055909,,,144572
1056324,,,124725
1056740,,,101515
1057156,,,82377
1057571,,,73739
1057987,,,74858
1058402,,,80404
1058818,,,81505
1059234,,,79837
1059649,,,81363
1060065,,,107389
1060480,,,189119
1060896,,,360070
1061312,,,651485
1061727,,,1028823
1062143,,,1418714
1062558,,,1697592
1062974,,,1761774
1063390,,,1583157
1063805,,,1221474
1064221,,,827750
1064636,,,489992
1065052,,,286234
1065468,,,188947
1065882,,,148697
1066299,,,130266
1066714,,,120074
1067129,,,111676
1067546,,,107792
1067961,,,105151
1068377,,,105153
1068792,,,106296
1069208,,,106014
1069624,,,105315
1070039,,,101841
1070455,,,92017
1070870,,,78920
1071286,,,69459
1071702,,,70044
1072117,,,82957
1072533,,,106652
1072947,,,132849
1073363,,,154008
1073780,,,166776
1074195,,,173921
