,RetentionTime Sample 1,Compounds,A,B,NormalisedToPhytane,% 2/3 After Normalisation
110,31.93,111_o-C11-Tol,1396.0,3885.0,3807.0028487742247,97.99235131979987
111,30.07,112_FAME 16:1,,,,0.0001
112,30.34,113_2-M-A,10815.0,33767.0,29493.363760381973,87.34374910528615
113,31.75,114_1-E-Phe,4855.0,14832.0,13239.970509168237,89.26625208446762
114,32.62,"115_1,7 DM-Phe",35630.0,103714.0,97165.83918468884,93.68632892829207
115,33.12,116_C3-dbt_s,140546.0,452307.0,383280.10199414194,84.7389277623698
116,33.37,117_FAME 18:2,,,,0.0001
117,33.37,118_FAME 18:1 + 18:3,,,,0.0001
118,33.97,120_C21Tr,,,,0.0001
119,34.51,121_C3-phe_s,684851.0,1914676.0,1867643.057296473,97.54355605316373
120,36.89,122_C4-phe_s,363726.0,1073060.0,991909.683505196,92.4374856490034
121,36.81,123_FAME 20:1,,,,0.0001
122,36.89,124_Te-M-Phe,11986.0,32500.0,32686.773743128837,100.57468844039643
123,38.95,125_FAME 20:0,,,,0.0001
124,37.97,126_C2-fl_s,16799.0,47269.0,45812.206917305295,96.9180793274774
125,37.91,127_BNT,7445.0,22579.0,20303.106166994345,89.92030721907234
126,38.73,128_C20TA,978.0,2704.0,2667.0836576656097,98.63475065331396
127,39.3,129_C25Trab,1880.0,5317.0,5126.909280584199,96.42485011442918
128,40.08,130_C21 TA,2019.0,5780.0,5505.973317818883,95.25905394150315
129,40.5,131_Phy-Tol,1110.0,3373.0,3027.0581390683305,89.7437930349342
130,40.74,132_C1-chr_s,249978.0,730196.0,681709.8553946154,93.35984521890224
131,41.81,133_27dbS,2544.0,7956.0,6937.690005216065,87.20072907511394
132,42.28,134_27dbR,1459.0,4638.0,3978.8088512618865,85.78716798753528
133,43.14,135_C28 (22S),2254.0,6513.0,6146.836977891907,94.37796680319218
134,43.46,136_C29 (22S),,,,0.0001
135,44.12,137_BePy,11738.0,35699.0,32010.458050796453,89.66766030083883
136,44.28,138_BaPy ,6107.0,20033.0,16654.273923684952,83.13419819140894
137,45.33,139_28bbR+S,4344.0,12824.0,11846.432933434979,92.37705032310495
138,45.67,140_28aaR,2612.0,7830.0,7123.131404726559,90.97230401949628
139,46.04,141_29aaS,4380.0,12899.0,11944.607791999359,92.6010372276871
140,46.44,142_25nor30ab,9078.0,24265.0,24756.426834650723,102.02524967917051
141,46.76,143_29aaR,3594.0,10902.0,9801.123380010433,89.90206732719165
142,46.86,144_29Ts,13814.0,34326.0,37671.8748946756,109.74734864148343
143,48.22,145_30ba,7697.0,22241.0,20990.33017694499,94.37673745310458
144,49.83,146_32abS,14536.0,45031.0,39640.8262247723,88.03008199856166
