Time [ms],Intensity
763265,160454
763639,187995
764012,227654
764387,273560
764761,306416
765135,306310
765508,270027
765882,217682
766256,164625
766630,120558
767004,93450
767377,79777
767752,71814
768126,66212
768500,62296
768873,59489
769248,59056
769622,61418
769996,65502
770370,70022
770744,74982
771117,82973
771491,95861
771865,113096
772238,131165
772613,146749
772987,160758
773361,170332
773735,171538
774109,161648
774483,140745
774857,113064
775231,85451
775605,62734
775978,48499
776352,42738
776726,45977
777100,58923
777474,81293
777848,109235
778222,134994
778596,150326
778970,146852
779343,129723
779718,103023
780092,78936
780466,60109
780839,48410
781214,42994
781587,42404
781961,44316
782335,47157
782709,48944
783083,49792
783457,48467
783831,46277
784204,42050
784579,38181
784953,35305
785327,34578
785701,37872
786075,48601
786449,71641
786822,112981
787196,178618
787569,263542
787944,346023
788318,406800
788692,433218
789066,403114
789440,337853
789814,263074
790188,197091
790562,147249
790936,115504
791310,96581
791684,83192
792057,73115
792431,64995
792805,59742
793179,58195
793553,58275
793927,58760
794301,58136
794675,59491
795049,61877
795423,65040
795797,66821
796170,63653
796545,56431
796919,46639
797292,37595
797666,31821
798040,30268
798414,32595
798788,39495
799162,48609
799536,58420
799910,64582
800284,65866
800658,61861
801031,54255
801406,46444
801780,39843
802154,36812
802527,38452
802901,46108
803275,62243
803649,87092
804023,117481
804396,148761
804771,169383
805145,173318
805519,169996
805893,170270
806267,182331
806641,203498
807015,219155
807389,214826
807762,191217
808136,152505
808510,113189
808884,83175
809258,63021
809632,50886
810006,44681
810380,42482
810754,42607
811128,44583
811502,45897
811876,45468
812250,43221
812624,41069
812997,39747
813371,42081
813745,51461
814119,69719
814493,97273
814867,128051
815241,158794
815615,182989
815989,199046
816363,207284
816737,210124
817111,206021
817485,200341
817858,197761
818232,203169
818606,212234
818980,218526
819354,210553
819728,188938
820102,153137
820476,122055
820850,97745
821223,78511
821598,67332
821972,62782
822346,63524
822720,69160
823094,79735
823467,97383
823841,129635
824215,182990
824589,257044
824963,331081
825337,387000
825711,403858
826085,376584
826459,314055
826833,247398
827207,189107
827581,142179
827955,106257
828329,79110
828702,61261
829075,53480
829450,57682
829824,79861
830198,122794
830572,184551
830946,247265
831320,301985
831694,318235
832068,292900
832442,235934
832816,168045
833189,111959
833564,74287
833936,52744
834311,44791
834685,47118
835059,56772
835433,70500
835807,87520
836180,108588
836555,140911
836929,197110
837303,282357
837677,392360
838051,498827
838425,565213
838799,564454
839172,502588
839545,392362
839920,279541
840294,203072
840668,161982
841041,145060
841416,136236
841790,127285
842164,114963
842537,98451
842912,80578
843286,65603
843660,54516
844034,47358
844406,43658
844781,42593
845155,42728
845529,42381
845902,41249
846277,41593
846651,48313
847025,70260
847399,117037
847773,197875
848146,301164
848521,402694
848895,458378
849269,463930
849643,405023
850016,296447
850390,195324
850764,119617
851138,77844
851512,62227
851886,61569
852260,69118
852634,78399
853007,87513
853382,93054
853756,98773
854130,103469
854503,105041
854877,103781
855251,96206
855625,82471
855999,65645
856372,50165
856747,40286
857121,36490
857495,37606
857868,41573
858243,46836
858617,52964
858991,60156
859365,68350
859739,79252
860113,91409
860486,101964
860860,108137
861233,108674
861608,104215
861982,96562
862356,87969
862730,79386
863104,71826
863478,68987
863852,75960
864226,100346
864600,147962
864973,218089
865348,294148
865721,355663
866095,378416
866469,351262
866843,294565
867217,225511
867591,160584
867965,112967
868339,84963
868713,72363
869087,67529
869461,65288
869834,64159
870209,64256
870583,65806
870956,70621
871330,77933
871704,85869
872078,92238
872452,95795
872826,94939
873199,91832
873574,86045
873948,80224
874322,73014
874695,65398
875070,57603
875444,51291
875818,47534
876191,46332
876564,46236
876939,46807
877313,47081
877687,47306
878060,49798
878435,55509
878809,65259
879183,76816
879557,86027
879931,88791
880305,84313
880679,77086
881053,69022
881425,61547
881800,55174
882174,50774
882548,47780
882922,46121
883296,45381
883670,45769
884044,46143
884418,47110
884792,48102
885165,48762
885540,47736
885914,45956
886288,43540
886661,42756
887035,43737
887409,46967
887783,51380
888157,56422
888531,60402
888905,63379
889279,64315
889653,65552
890026,70279
890401,80234
890775,94912
891149,111101
891522,123818
891896,130099
892270,128221
892644,120330
893018,112904
893391,115511
893766,145590
894140,220030
894514,354422
894887,551601
895262,786424
895636,1057867
896010,1307029
896384,1515720
896758,1700627
897131,1858508
897505,1956694
897879,2035398
898252,2028966
898627,1809091
899001,1111430
899375,449344
899749,215055
900123,158136
900497,127549
900871,99476
901245,77536
901619,68794
901992,72630
902366,83323
902740,95266
903114,103547
903488,106083
903862,101279
904236,91346
904610,77946
904984,63608
905358,51318
905732,43417
906106,39635
906480,38909
906853,39503
907228,40408
907601,42043
907975,44729
908349,48825
908723,55011
909097,63738
909471,73198
909845,82864
910218,91175
910593,96523
910967,96953
911341,95349
911715,93560
912089,95461
912463,102503
912836,109897
