,RetentionTime Sample 1,Compounds,A,B,NormalisedToBS10,% 2/3 After Normalisation
99,23.48,100_ n-C9-CyC6 ,18500.0,50722.0,49856.84695723205,98.29432387767054
100,28.15,101_ o-C9-Tol,1455.0,3651.0,3921.1736390687906,107.39999011418215
101,26.26,102_8H-A,,,,0.0001
102,26.54,103_1-M-F,14613.0,39902.0,39381.51916681253,98.69560214227992
103,26.56,104_8H-Phe,,,,0.0001
104,26.76,105_FAME 14:0,,,,0.0001
105,27.96,106_Br-alk-225-1 ,1620.0,3908.0,4365.842814633293,111.71552749829306
106,28.89,107_C2-f_s,149639.0,402424.0,403271.82280179707,100.21067898579535
107,29.58,108_Br-alk-225-2,649.0,1887.0,1749.0320905537078,92.68850506378949
108,31.55,109_m-C11-Tol,2282.0,5893.0,6149.909446292083,104.35956976568951
109,30.01,110_C12-Benz,2409.0,6029.0,6492.169963241729,107.68236794230766
110,31.93,111_o-C11-Tol,1396.0,3709.0,3762.170721745726,101.43355949705382
111,30.07,112_FAME 16:1,,,,0.0001
112,30.34,113_2-M-A,10815.0,31127.0,29146.043234727815,93.63588921106376
113,31.75,114_1-E-Phe,4855.0,13647.0,13084.053620397925,95.87494409319208
114,32.62,"115_1,7 DM-Phe",35630.0,98926.0,96021.59227492852,97.06406028236108
115,33.12,116_C3-dbt_s,140546.0,420505.0,378766.50878114236,90.07419859006252
116,33.37,117_FAME 18:2,,,,0.0001
117,33.37,118_FAME 18:1 + 18:3,,,,0.0001
118,33.97,120_C21Tr,,,,0.0001
119,34.51,121_C3-phe_s,684851.0,1825552.0,1845649.270027423,101.10088729477017
120,36.89,122_C4-phe_s,363726.0,912044.0,980228.7306143882,107.47603521479098
121,36.81,123_FAME 20:1,,,,0.0001
122,36.89,124_Te-M-Phe,11986.0,33371.0,32301.846898885582,96.79616103468756
123,38.95,125_FAME 20:0,,,,0.0001
124,37.97,126_C2-fl_s,16799.0,44700.0,45272.71200186709,101.28123490350579
125,37.91,127_BNT,7445.0,20553.0,20064.012194410407,97.62084461835452
126,38.73,128_C20TA,978.0,2480.0,2635.675476982321,106.2772369750936
127,39.3,129_C25Trab,1880.0,4952.0,5066.533636734932,102.31287634763595
128,40.08,130_C21 TA,2019.0,5350.0,5441.13373008927,101.70343420727608
129,40.5,131_Phy-Tol,1110.0,2961.0,2991.4108174339226,101.02704550604265
130,40.74,132_C1-chr_s,249978.0,650198.0,673681.8858743218,103.61180530766347
